,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24,Recall
y:label=0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.9333
y:label=1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=2,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9615
y:label=3,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9545
y:label=4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=7,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=8,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=9,0,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9354
y:label=10,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=11,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=12,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=13,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0.8695
y:label=14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,1,0,0,0,0.8571
y:label=15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0.95
y:label=16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0.9473
y:label=17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0.9444
y:label=18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,0.9130
y:label=19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0.9166
y:label=20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1
y:label=21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,0,0,0,0.9230
y:label=22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1
y:label=23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,1
y:label=24,0,3,1,4,1,0,4,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,2,1,49,0.7
Precision,1,0.7727,0.9259,0.84,0.9629,1,0.8,1,1,1,0.9259,1,0.8518,0.9523,0.9473,0.7916,1,1,0.9130,1,0.9583,0.9230,0.9166,0.9062,0.98,
F-Measures,0.9654,0.8717,0.9433,0.8935,0.9810,1,0.8888,1,1,0.9666,0.9615,1,0.9199,0.9090,0.8999,0.8635,0.9729,0.9714,0.9130,0.9564,0.9787,0.923,0.9564,0.9507,0.8166,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,0.9339,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Precision,0.9347,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Recall,0.9522,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.F-Measures,0.9401,,,,,,,,,,,,,,,,,,,,,,,,,
