x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Top_R0\Top_R0_013.png,20,0.0018072425,0.0012603598,0.00032527524,0.00021570604,0.0003171871,4.5391837e-07,3.2727054e-05,1.001718e-06,6.461108e-06,2.5289555e-05,5.5784056e-07,1.2451831e-05,6.0372775e-05,0.023067659,4.0557687e-05,0.00208915,1.0026246e-05,0.0035387988,9.584224e-08,0.033110995,0.8828539,5.797367e-05,0.051068567,6.872529e-06,9.026341e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Left_R1\Left_R0_077.png,13,0.0006094523,4.3640954e-05,0.0007707929,1.25706065e-05,0.086035326,3.299963e-06,0.0012809492,3.021521e-06,5.1509287e-06,0.0012160501,2.9168018e-06,0.0001832245,1.8028581e-08,0.8374035,5.162976e-07,0.011110358,8.777205e-06,0.026033768,2.6357917e-08,0.00036535415,0.0027324138,2.4710716e-05,0.024847222,6.669762e-07,0.0073062023
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Front_R3\Front_R0_108.png,11,8.736072e-06,1.3912378e-06,9.442781e-09,6.817079e-06,5.7608863e-06,0.00012001653,1.265923e-05,1.7140488e-05,0.04889662,5.827346e-05,2.8877263e-05,0.94287264,5.417462e-07,1.28439e-09,4.032239e-06,3.870194e-07,1.4010353e-05,7.483744e-07,0.0019630548,1.2513638e-06,2.76469e-07,2.0513214e-06,2.6655203e-10,5.9389965e-08,0.0059845783
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Right_R2\Right_R0_046.png,18,6.614012e-09,1.238983e-08,2.0817698e-10,3.0993355e-08,5.019049e-10,0.00018770064,1.8129066e-07,2.140288e-05,8.36025e-05,3.0817397e-08,4.4507826e-07,7.180193e-06,2.8918948e-06,2.0459223e-09,1.837174e-05,5.020631e-09,2.284642e-06,3.8548688e-08,0.99967253,2.2283538e-10,1.018937e-10,2.5691138e-06,4.967932e-10,1.7442967e-07,5.7807017e-07
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Back_R3\Back_R0_063.png,3,0.0041835634,0.006853186,0.022068921,0.96020794,4.4237615e-07,4.5185686e-09,1.8276702e-07,1.4531939e-08,2.1041933e-07,1.7709151e-07,1.3604479e-07,4.2886055e-07,4.4854428e-08,1.123483e-05,3.3064912e-06,2.9790633e-06,1.5787366e-08,2.376086e-06,4.7768123e-09,2.2815035e-08,0.0038755191,7.495248e-07,6.443709e-05,6.306572e-05,0.0026610054
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\empty\Empty_230.png,24,0.0043104794,0.004743549,0.0035025554,0.0011353985,0.00086718274,0.0030785254,0.00024841906,0.00069768954,0.009146492,0.016348457,0.0036050798,0.009236255,0.005959835,0.0011258866,0.0006639919,0.0033005085,0.0019746334,0.0011079406,0.0044550346,0.0054208436,0.0067543183,0.012350219,0.008040485,0.0017418087,0.8901844
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Back_R0\Back_R0_044.png,0,0.752402,0.15355214,0.051691588,0.036980752,8.0221675e-08,9.4700006e-08,6.083459e-10,1.7768846e-08,1.0609458e-07,5.5029204e-07,2.0237117e-06,4.8574776e-07,0.00030703045,4.310866e-06,9.756468e-06,3.9043403e-05,0.0001369176,5.333257e-07,1.1624729e-05,0.00015846167,0.00090324786,0.0006770597,1.3898073e-05,8.5409425e-05,0.0030228526
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Left_R3\Left_R0_053.png,15,4.6787272e-06,1.3669913e-07,1.5765907e-07,7.100046e-08,5.322037e-06,1.4293691e-10,7.697449e-08,1.5108756e-10,1.24818476e-08,3.6188728e-06,2.1094968e-12,3.4157108e-07,2.787265e-10,0.0008674931,2.3429705e-10,0.99888235,1.7334569e-10,1.2709532e-06,6.1343136e-10,5.818305e-05,0.00016771867,1.326777e-07,6.2285512e-06,2.0939234e-08,2.19362e-06
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Back_R1\Back_R0_099.png,1,0.0001436421,0.9587746,0.00017039923,0.040786702,2.8406763e-08,9.3824916e-08,1.13344896e-07,1.0008396e-07,6.8350214e-06,6.315432e-08,5.8212977e-09,3.3242287e-09,1.0181826e-06,4.034157e-09,3.9574197e-09,1.4812497e-09,1.0619069e-07,3.7501896e-10,2.3673281e-09,2.5113877e-07,3.663299e-08,4.1818104e-05,1.8284323e-06,6.364913e-07,7.1503295e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Left_R1\Left_R0_113.png,13,4.1673098e-07,2.7183553e-08,3.1668202e-07,1.7173843e-08,1.7852335e-06,4.2289287e-11,2.3051172e-07,2.9202838e-11,2.402406e-12,2.0831634e-05,1.2280534e-10,9.183532e-07,5.1067563e-11,0.9847036,3.2589147e-13,0.014918085,3.1852216e-12,1.3563459e-05,1.980549e-13,2.7071987e-05,0.00012808462,4.073306e-09,0.00018438749,4.945519e-09,6.3526016e-07
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Left_R2\Left_R0_031.png,14,0.00029444665,0.0004724108,9.848027e-06,0.002110935,1.1282335e-09,5.940168e-07,2.142273e-09,9.938649e-08,9.230673e-06,1.5198513e-11,2.204806e-06,4.2433175e-08,0.17466313,0.00014669355,0.80180544,2.1747086e-07,0.0002619938,1.2167058e-05,0.0006986048,4.8123667e-07,6.5527092e-06,0.016188035,2.4701135e-06,0.0033134348,8.149975e-07
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Left_R2\Left_R0_057.png,14,1.0079279e-05,0.00010078851,1.2476184e-05,7.938203e-05,2.949961e-09,3.4603306e-06,5.923296e-10,1.3956261e-08,2.366726e-05,9.968892e-10,5.900477e-05,7.4584416e-10,0.040081874,3.270174e-07,0.95910394,7.2203267e-07,0.00020534244,1.915724e-06,7.898603e-05,3.4189547e-09,1.085153e-06,0.00017045271,6.8229992e-06,3.5508205e-05,2.4106635e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Left_R0\Left_R0_018.png,12,8.392178e-07,0.00019815708,3.945607e-06,5.3952408e-05,5.5669122e-11,3.5391795e-07,7.795407e-12,5.842429e-10,3.275501e-07,7.5202455e-11,5.868935e-07,2.160636e-11,0.96601045,4.5070456e-07,0.029778978,4.2879898e-07,0.0014974559,2.7696117e-07,4.8540874e-06,1.4617108e-08,8.8943915e-07,0.0023313623,1.5382735e-06,0.000114894814,8.063351e-08
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Bottom_R2\Bottom_R0_038.png,6,9.8124925e-05,0.00020441941,0.0001389525,5.9851504e-06,0.0020655459,1.0100018e-06,0.9677756,9.539429e-08,1.1254547e-05,9.9180514e-05,6.0049985e-07,4.656446e-06,1.551169e-07,0.00020339461,5.557445e-09,0.000104166735,4.586959e-09,0.00021406081,9.583672e-08,0.0017869144,5.712585e-06,1.1878915e-06,0.02701825,7.631492e-08,0.00026058764
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\empty\Empty_171.png,24,0.22729734,0.017525356,0.01594902,0.2489125,0.0031932967,0.0001397668,0.000106652136,0.0004683995,9.514612e-05,0.00014046137,8.4553074e-05,0.00081254984,1.960762e-07,0.0002634501,6.2764525e-06,0.0009410034,3.636225e-07,2.386321e-07,4.4000444e-06,0.000105676525,0.055128567,4.6646794e-05,0.00011667155,0.0046213903,0.42403996
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Back_R2\Back_R0_061.png,2,0.04119595,0.0031770186,0.9525837,0.0018061205,3.7575916e-09,1.1552871e-08,2.5086784e-09,4.7492055e-10,4.2144566e-07,4.297114e-08,4.7129682e-09,8.272684e-09,7.060155e-07,4.7233875e-06,7.0862575e-06,6.0750976e-06,2.1902255e-05,2.9933264e-07,1.7863563e-08,5.6496967e-09,7.214814e-07,9.140607e-05,0.00028894425,0.0005630229,0.00025195652
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Front_R1\Front_R0_065.png,9,9.313364e-06,0.0003211818,0.0002899022,9.856552e-05,0.0005330989,0.005619443,0.007457385,0.00062057044,0.0016796063,0.35835087,0.14156404,0.4282204,0.000105555846,1.286078e-05,1.8810814e-06,5.4106932e-09,0.008929293,2.903572e-05,0.0024948448,2.0878183e-06,7.478122e-09,3.2390312e-06,5.3827134e-06,3.9232477e-06,0.04364762
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\empty\Empty_244.png,24,4.895958e-05,0.0015384344,0.006293394,3.4113902e-05,0.009571379,0.00015388055,5.184235e-06,0.00085675204,6.735538e-07,0.029972708,0.0008326134,0.00012729583,0.00010880695,0.76328105,5.295092e-10,1.8445195e-06,0.0013750244,3.7918e-08,1.1088001e-11,0.0076855323,0.00091710314,0.00011354343,3.1236148e-05,3.1535405e-05,0.17701894
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Front_R2\Front_R0_040.png,10,7.6548604e-05,1.3965233e-05,0.000151864,0.0003462022,6.500153e-05,0.00031452972,7.954567e-05,3.687421e-05,0.0019663996,0.0024129439,0.63600624,0.30621314,2.9910183e-05,3.3181554e-05,0.00013444902,1.1933079e-06,0.00019649269,0.0010608907,0.00024317794,0.00018611416,5.6844823e-05,6.59619e-07,2.2351076e-05,1.4700877e-05,0.050336614
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Front_R3\Front_R0_121.png,11,4.0523432e-06,3.937522e-06,6.246735e-05,0.0003679879,7.914005e-05,0.00015049744,0.00078958337,0.0003177565,1.45012355e-05,0.0028483737,0.007693544,0.9453146,9.456872e-06,0.0026960275,7.5889325e-06,5.044204e-06,2.4586839e-06,0.00052083115,0.00053764833,5.490195e-05,3.168893e-05,4.356823e-06,0.00029480303,7.186979e-05,0.03811689
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Right_R3\Right_R0_086.png,19,0.002033623,6.3838066e-05,5.4815682e-05,2.2062907e-06,8.052713e-05,3.9420773e-09,6.889962e-08,3.573831e-08,8.211527e-06,2.7356828e-05,2.4670594e-08,7.981436e-06,2.6828068e-06,0.0032081755,6.8001674e-07,0.00076933746,1.1183582e-06,4.7446642e-06,1.0424208e-09,0.955874,0.035455137,4.382171e-06,0.0023852314,2.4924153e-08,1.587598e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Front_R1\Front_R0_036.png,9,5.523809e-06,0.00024924378,9.351764e-05,3.235232e-05,0.00053503655,0.0022799235,0.0007855604,0.0018600714,0.01589568,0.16310109,0.6479039,0.02620364,0.00096863846,2.343828e-05,2.946343e-06,4.1476852e-08,0.031346686,4.5967892e-05,0.0038606909,0.00018824721,4.7445273e-08,1.6233922e-05,4.033485e-06,2.6429483e-05,0.1045711
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Front_R2\Front_R0_078.png,10,2.760446e-06,0.00077521545,2.645608e-05,2.0261737e-06,0.000113576025,0.0002281045,2.3355915e-05,7.869061e-06,0.004173462,0.26605108,0.72017354,0.0004839576,0.00038695344,7.770614e-08,1.3373854e-09,4.5231754e-10,0.0023500766,9.118182e-07,1.9026972e-06,9.021501e-06,1.3074519e-09,3.0933919e-07,1.14667245e-07,1.6662295e-09,0.005189204
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Top_R3\Top_R0_012.png,23,8.7751396e-05,0.000116770716,1.8506777e-05,0.00059887895,9.375679e-07,2.543544e-05,5.6714936e-07,0.00013371254,2.090886e-05,6.1936454e-08,2.7957753e-05,1.9142078e-06,0.0012074088,1.9160716e-05,0.00049896084,3.9127744e-06,0.0009191295,1.0384598e-07,0.005345687,2.920199e-06,7.902906e-06,0.0076514557,1.3206048e-06,0.98326313,4.5435256e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Top_R0\Top_R0_002.png,20,0.004606704,0.00017789286,0.0022424888,0.0001255761,0.0009722973,1.5822727e-07,0.0012486646,2.4712594e-07,3.7873174e-06,0.0013656758,3.9865627e-06,5.5789144e-05,2.762133e-06,0.0034206917,1.1892067e-07,0.0051224837,2.2188149e-07,0.017395923,7.945491e-08,0.3531995,0.56322885,1.4583004e-07,0.046629608,2.8448852e-07,0.00019612905
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Front_R2\Front_R0_044.png,10,0.0001589845,9.083527e-05,0.00030578417,0.0022873222,0.002144611,0.0009958019,0.00032164887,0.00052919285,0.013543341,0.034908164,0.46396244,0.2749546,5.0007875e-06,0.000101882426,3.158389e-05,3.6347758e-06,0.0003470604,0.004093267,0.00020200039,0.0032104347,5.40404e-05,1.7334874e-07,2.8831744e-05,8.0591435e-06,0.19771132
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Right_R0\Right_R0_034.png,16,2.9017948e-11,3.3119665e-09,4.927188e-09,7.981489e-10,1.6446812e-10,4.555194e-06,2.6031932e-10,0.0004463785,1.0700691e-07,4.6269878e-07,0.00015912898,1.12449314e-07,0.00011989368,1.3862832e-08,1.5616779e-05,5.309389e-14,0.99922276,3.695967e-11,2.2994309e-05,1.03228016e-10,6.128853e-12,3.8448164e-08,4.6146174e-11,7.501914e-06,4.845986e-07
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\empty\Empty_288.png,24,0.0025749125,0.019445492,0.01959198,0.002077949,0.00024829493,0.00047984798,0.38889325,9.742216e-05,0.04786226,0.0049977186,0.00544853,0.003845794,0.00021221423,0.0006034226,9.546535e-07,0.0006309977,4.873478e-06,0.00067448616,0.0010558604,0.009731736,1.2146946e-05,0.008068702,0.015289125,0.00017334665,0.46797866
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_focus_padding\Right_R1\Right_R0_053.png,17,1.5278516e-09,2.6007346e-08,6.657486e-10,2.0146262e-09,0.0036423602,4.7905502e-08,3.5915633e-05,6.2627836e-10,3.2303942e-06,0.00053580245,6.0081093e-05,5.8736794e-05,2.9701209e-08,0.00070662476,2.4919283e-10,0.00022172005,2.1532152e-09,0.99469346,4.0508149e-13,1.1568498e-05,2.0032809e-05,1.057118e-08,3.884278e-06,9.5585605e-12,6.3729526e-06
