x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes\Bottom_R1\PICT371.png,5,7.403648e-11,5.389948e-09,3.5121068e-12,8.074966e-11,5.219926e-08,0.9999337,6.184276e-05,1.6721997e-07,7.607053e-08,6.3025844e-08,6.6191546e-07,2.5688732e-06,9.936789e-08,1.0069839e-09,1.0786101e-10,1.1669615e-09,5.5133904e-07,1.283252e-08,1.3657776e-08,2.1681029e-10,5.623976e-13,4.4385126e-14,3.5658922e-15,2.0424459e-15,3.358315e-08
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes\Front_R2\PICT663.png,10,0.00014470573,3.8174305e-05,0.00011076946,8.607288e-06,0.0022863883,0.033348802,0.06423779,1.2513679e-05,0.0072876783,7.4837095e-05,0.8907269,3.202106e-05,1.8476576e-06,2.2127437e-05,0.00026755861,3.4716162e-05,0.0006867389,2.1857237e-05,0.00013378805,0.00034000125,2.4760916e-06,4.1055568e-08,8.144112e-06,1.5406569e-07,0.00017135136
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes\Top_R1\PICT184.png,21,7.860564e-09,1.8851523e-07,1.1512545e-07,6.758111e-08,1.2694082e-10,1.31483895e-11,3.0108201e-12,6.5292265e-13,4.769623e-15,1.2749996e-09,3.0141774e-11,9.250064e-11,5.225945e-10,1.3137932e-06,4.632035e-09,3.1169956e-11,3.0208007e-08,1.6609707e-06,1.3300355e-08,1.530773e-09,2.5644133e-09,0.9999962,2.2942203e-07,7.912113e-09,7.032111e-08
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes\Front_R2\PICT622.png,10,7.102938e-09,4.372749e-12,1.727444e-08,8.332948e-11,3.365312e-08,2.1105183e-08,0.00024073292,1.9599264e-09,4.9676455e-08,6.900003e-14,0.99975866,3.4002595e-10,5.74436e-13,1.4649251e-08,7.685173e-10,6.738382e-09,2.3200471e-12,1.5774267e-10,4.5157074e-07,3.1162416e-12,7.1013824e-12,3.8949066e-11,1.7396157e-11,6.19843e-11,2.9029456e-08
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes\Right_R0\PICT023.png,16,0.0090031065,4.6493777e-05,0.00023911319,9.987679e-05,0.039158206,0.0040861205,5.911035e-05,3.8683854e-07,4.951713e-06,1.456668e-07,0.0010672499,2.0961812e-08,0.0108362315,0.20763686,1.8138134e-06,7.098682e-05,0.44100735,0.02141127,2.4901661e-05,0.0002102901,0.26227316,2.2125396e-06,8.551648e-06,2.3531672e-07,0.0027512943
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes\Back_R3\PICT572.png,3,1.2925413e-09,7.5215025e-06,5.378295e-11,0.9999925,4.838766e-16,9.751677e-15,4.2891011e-16,4.9825937e-13,5.576654e-17,7.0333175e-12,4.168764e-16,2.1708249e-10,9.472336e-14,6.860657e-17,5.530394e-14,1.0843994e-11,5.6563874e-13,2.3513626e-13,9.846065e-14,9.0126245e-10,9.739015e-12,3.875187e-14,8.1010324e-15,2.2730337e-08,1.6512576e-08
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes\Right_R1\PICT030.png,17,0.00013964108,0.13164343,8.9918615e-07,6.2159546e-05,1.0877804e-05,0.00019335303,1.491523e-07,5.030689e-13,1.2414604e-08,0.002669379,2.2996849e-08,0.00012295402,0.00028022006,0.0027254762,1.1804451e-06,2.2149138e-10,4.0296345e-06,0.8495531,5.1080995e-05,5.898612e-10,8.9525446e-07,0.012492618,1.5921221e-06,1.0020262e-05,3.6885005e-05
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes\Back_R2\PICT561.png,2,5.2674386e-06,1.3375156e-06,0.99867684,0.00016531872,1.1163514e-14,2.2048393e-19,7.768412e-11,4.4362724e-15,7.550227e-11,5.1426924e-15,3.5908343e-08,2.4357374e-10,1.2890077e-13,6.2658834e-10,5.9102916e-07,2.2430946e-09,4.6738313e-10,4.127075e-13,6.9068724e-09,1.2779214e-08,1.5228608e-12,5.97536e-07,1.2746832e-05,1.3910523e-06,0.0011358941
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes\Right_R3\PICT096.png,19,2.4408186e-07,2.6107537e-07,2.194755e-05,1.7149081e-07,2.744749e-09,1.4980014e-08,1.5168712e-06,5.250397e-07,5.1086913e-06,1.7246486e-09,4.571523e-05,2.6683151e-06,8.639859e-08,5.2129348e-08,2.2169206e-07,0.000758414,2.0011054e-08,6.141787e-08,3.0989546e-07,0.9989755,1.0465667e-06,2.0693673e-07,7.850191e-05,1.231288e-05,9.51536e-05
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes\Front_R0\PICT713.png,8,4.674134e-06,3.6915908e-09,6.919103e-10,6.5807776e-11,8.178812e-05,2.2640537e-08,3.09259e-07,2.6204976e-09,0.99991167,7.732529e-12,5.0528377e-07,2.6161252e-11,2.9830638e-10,4.4218136e-09,3.1268408e-12,4.3242707e-09,1.8893017e-07,2.6514653e-11,5.767107e-10,1.9376395e-10,1.7368813e-11,8.729566e-10,7.787718e-13,8.496081e-13,7.758349e-07
