x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Back_R2\Back_R0_042.png,2,0.0036545969,1.0657747e-11,0.9952603,2.3957348e-11,3.2084827e-08,1.1741592e-13,7.5787893e-06,5.873831e-13,3.141162e-07,2.3320553e-16,9.1906084e-05,1.5383375e-19,7.936545e-15,0.00015027192,4.2661306e-14,4.4972026e-09,7.861156e-15,0.0003079988,7.402286e-12,2.4388618e-07,7.4851023e-06,5.4533718e-11,0.0005191454,1.6786204e-13,4.1170473e-08
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Front_R0\Front_R0_036.png,8,0.0007407196,2.1727201e-08,0.00049977505,9.714527e-08,0.0042052437,1.0246828e-05,0.008522668,3.021454e-05,0.662161,1.1967811e-05,0.28084105,1.3987246e-06,4.667785e-06,0.0036689774,2.5894205e-06,0.016176041,3.2246087e-06,0.006650617,4.6615082e-06,0.011977021,0.0013682087,4.5202005e-06,0.0025411672,9.913808e-07,0.0005727933
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Back_R2\Back_R0_056.png,2,0.00057141954,2.3385668e-10,0.99713814,1.0457387e-09,3.9551995e-08,1.9859475e-13,1.5125089e-07,1.7704406e-12,2.1641755e-07,2.4721148e-15,2.0589914e-06,1.8108519e-17,1.3942376e-13,1.6397804e-05,2.3966992e-12,2.0438206e-07,1.1373534e-13,0.0019559076,1.4109706e-10,3.5755157e-08,2.87713e-07,2.0555205e-10,0.00031508534,2.0349789e-09,2.0511528e-07
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Left_R3\Left_R0_103.png,15,0.0019503417,7.136927e-11,2.0984933e-05,9.376668e-10,0.006659535,6.749904e-08,0.028513446,2.9235181e-08,0.012139185,1.3496523e-10,5.4933695e-05,1.2173509e-09,6.414772e-09,0.00041304785,1.3774694e-10,0.91362584,6.857229e-07,0.0006976893,1.2408752e-10,0.023051921,0.01226393,4.6685976e-08,0.00058727607,3.9833285e-08,2.1203097e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\empty\Empty_005.png,24,1.9611492e-05,1.8677152e-07,8.6525915e-07,4.3880237e-07,0.03116851,0.072126225,0.23480366,0.0060724933,0.009663496,0.0028456384,0.0020077927,0.0006203555,0.0077859447,1.6240661e-05,0.0015661868,0.01088641,0.0017301093,9.752839e-05,0.000336007,0.007737808,0.0016839523,1.9393421e-05,0.00042400902,3.1821273e-05,0.60835534
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Top_R2\Top_R0_030.png,22,5.1072504e-05,0.00015041711,0.008197606,3.4805744e-05,4.8637983e-05,8.981348e-06,0.0009569842,0.00025546385,1.4594123e-05,1.708442e-05,0.00011152186,7.307229e-07,5.177341e-06,0.000118656346,0.0002003685,0.00020457603,3.7651145e-05,0.006434954,0.00021527792,8.672019e-06,6.7771214e-07,0.0019288382,0.98000836,0.00015383297,0.0008350559
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Top_R2\Top_R0_108.png,22,1.726843e-05,8.040413e-08,1.4890804e-05,3.4958982e-09,4.79417e-07,1.6463755e-10,5.5295795e-06,2.1484328e-07,5.7299543e-10,1.2852364e-11,6.391537e-08,2.5422841e-13,9.247051e-11,1.02791e-05,5.8240918e-08,1.6148399e-06,2.4663295e-08,1.5457445e-05,9.552612e-09,7.0341386e-08,4.362964e-09,1.8180276e-07,0.99989927,1.1441268e-08,3.4461733e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Right_R2\Right_R0_064.png,18,2.787107e-09,0.052307107,5.311417e-07,0.015208936,2.705545e-08,2.8171731e-05,4.4035338e-07,0.0002450376,1.1465943e-12,0.0011494528,7.1664064e-10,1.9244551e-05,1.5527758e-07,1.4336354e-08,0.16019264,6.3487843e-13,0.00046211245,1.8671643e-07,0.76950693,2.3326321e-12,3.576856e-11,0.00087445584,3.94397e-06,5.350253e-07,5.8967306e-08
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Back_R2\Back_R0_052.png,2,0.00018021218,8.328203e-09,0.99837863,4.406985e-08,3.664416e-10,8.389415e-15,4.0839346e-08,6.2128816e-14,2.7996676e-09,3.8429343e-14,1.8362883e-08,5.322264e-18,5.306262e-13,1.7618116e-06,3.9090137e-12,1.8543185e-09,2.7048633e-14,0.0014302054,1.1864943e-09,4.176046e-09,3.187446e-08,6.6173556e-09,9.027295e-06,3.047799e-09,1.7025646e-07
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Left_R3\Left_R0_008.png,15,1.8500572e-05,3.5187655e-11,3.784587e-05,1.0266276e-08,0.0001503285,5.775047e-10,1.5765714e-06,9.4287117e-07,9.465963e-06,2.116099e-12,2.4108836e-06,1.7291774e-11,4.3620722e-13,4.6097946e-07,1.3117593e-09,0.9977938,1.4648427e-12,6.181454e-05,2.0166867e-08,0.0018787957,7.644427e-07,1.7773982e-13,4.0088613e-05,2.7347303e-06,4.380612e-07
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Right_R1\Right_R0_079.png,17,1.006273e-05,5.501677e-08,0.016038418,6.84461e-08,0.0062757623,1.3509474e-07,0.0004407004,1.0050717e-06,0.0007383986,2.5997912e-07,0.004767462,4.0644426e-08,6.992137e-07,0.038224556,1.2376372e-06,0.0022156332,5.435693e-08,0.91748697,2.1439669e-06,7.3008065e-05,9.357701e-05,1.516648e-06,0.013507789,5.951807e-06,0.00011437414
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Back_R0\Back_R0_034.png,0,0.9981723,6.1367814e-11,0.0010237418,6.2191326e-08,1.9697113e-07,8.4706645e-13,1.050702e-09,1.7768731e-12,2.5216679e-08,1.39616e-17,3.4659445e-10,4.063963e-15,1.0731088e-12,4.797073e-12,6.314873e-13,0.00072319974,2.904834e-10,1.9218668e-08,2.202754e-12,5.6451452e-05,2.3962279e-05,3.8275446e-12,5.0590714e-08,1.5819167e-07,1.780079e-08
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Top_R3\Top_R0_019.png,23,0.0046572685,5.518817e-05,0.00018686954,0.005997676,0.008743466,0.011675061,0.0050423946,0.008997609,0.0028256867,0.0024491975,0.0011164563,0.0037403293,0.0017309116,0.0003095132,0.022599997,0.3811572,0.00049973506,0.0016991196,0.0063597453,0.0660208,0.022649268,0.0020934436,0.0025736685,0.26713377,0.16968563
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Front_R2\Front_R0_102.png,10,0.042903807,1.7790919e-09,0.012056681,3.2368712e-07,0.026070619,2.7072801e-06,0.0010048306,1.6125289e-06,0.15113442,5.0687965e-10,0.22221968,6.5117454e-09,4.8912034e-09,0.015745034,9.559367e-07,0.05886171,2.2503013e-08,0.28165993,1.4525858e-07,0.1807689,0.0014173505,6.046095e-07,0.005042285,9.411881e-07,0.0011073996
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Back_R1\Back_R0_102.png,1,6.718009e-10,0.9992091,1.2194773e-10,0.00055045116,4.0508635e-11,2.8575566e-06,7.3049075e-12,2.4652888e-07,1.9397866e-13,1.8306431e-05,3.770674e-15,6.689221e-08,4.401205e-06,8.9831885e-11,1.1944483e-07,5.711268e-16,9.4176256e-05,7.2945454e-09,5.9983818e-06,5.8053416e-14,2.018025e-09,0.00011428838,2.4487187e-12,6.606534e-09,3.852881e-09
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Front_R3\Front_R0_108.png,11,6.855556e-10,0.0005848677,3.605532e-11,0.0009984355,2.8928072e-08,0.00079599227,2.595753e-08,0.00022830171,1.7514558e-09,0.08242006,8.849187e-10,0.8979432,0.011326454,3.4384434e-10,0.0006703026,2.2157566e-07,0.0034224119,1.6013908e-09,0.0013768685,1.9093648e-08,2.758336e-08,3.1185675e-05,1.1859037e-09,0.00019720124,4.526616e-06
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\empty\Empty_133.png,24,0.00053882954,2.8886334e-06,0.008231177,0.00028765708,0.000752946,2.7011697e-06,0.0030236626,5.9246864e-05,1.4625067e-06,1.0657217e-06,0.00165711,7.932077e-07,2.4721954e-08,0.0024401697,0.0035193092,0.00030961313,1.720702e-06,0.0020529134,0.05573325,0.0002926039,0.00019102482,0.00012682205,0.606425,0.0013198039,0.31302813
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Left_R3\Left_R0_058.png,15,3.9187442e-05,2.8106066e-07,0.006486062,4.8666965e-07,0.0004149403,1.6788878e-08,1.8440305e-05,8.625135e-08,3.6343818e-06,5.771059e-08,1.2688554e-05,4.1546904e-09,2.2306597e-09,0.00054297596,1.5704288e-06,0.94445664,1.2176933e-09,0.028846316,5.097894e-06,9.6392e-06,3.0422498e-07,1.8669214e-08,0.01908184,4.0885083e-05,3.8851977e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\empty\Empty_233.png,24,0.012371407,0.005350644,0.0107185235,0.0011309901,0.0024466703,0.0006983318,0.0036653026,0.003579116,0.0004919178,0.00021813861,0.00019268737,0.00042597236,0.00083315646,0.010322256,0.03722731,0.005464424,0.0026275376,0.038723614,0.0006770104,0.0022945479,0.0033588053,0.012873855,0.7266771,0.006209981,0.111420654
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Left_R0\Left_R0_101.png,12,1.16457e-07,0.0012145629,9.3745186e-08,0.0033797212,8.064369e-05,0.017443785,2.0995634e-05,0.031608906,7.3124255e-07,0.30992904,8.850078e-07,0.053575236,0.48584655,1.831202e-05,0.0039978423,9.2280004e-08,0.06878287,0.00013137887,0.003452318,1.0740582e-07,6.575092e-06,0.017939601,1.1313831e-06,0.002442638,0.00012578246
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Front_R0\Front_R0_005.png,8,0.0041164174,3.224514e-09,0.007945168,2.0267992e-08,0.008264714,5.8322406e-05,0.008709487,1.027391e-05,0.8850886,2.8607508e-10,0.0549506,1.6524332e-09,2.7841263e-06,0.002682066,1.0333412e-08,0.013841193,3.0241704e-06,0.010444728,1.4091951e-07,0.0033623052,0.0003220656,5.065237e-08,0.00013733094,9.555907e-07,5.979934e-05
C:\Users\DS1DPC2003M\Desktop\sora-q_nnc\data_sets\25classes_padding\Left_R2\Left_R0_056.png,14,9.746488e-05,0.01579289,0.00019384963,0.000838251,1.0115972e-06,7.6063185e-07,0.00017900244,0.019065812,3.6217963e-07,0.0008639951,2.941927e-06,1.6019972e-06,0.003948463,5.8804803e-06,0.9154434,1.6913022e-08,0.011493478,9.69109e-05,0.0007505038,6.760108e-08,8.624239e-08,0.021191364,0.009586045,0.00035906673,8.67874e-05
