,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24,Recall
y:label=0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=5,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
y:label=6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=7,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=8,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.9230
y:label=9,0,0,0,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9629
y:label=10,1,0,0,0,0,0,0,0,4,0,21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7777
y:label=11,0,1,0,0,0,0,0,0,0,0,0,28,0,0,2,0,1,0,0,0,0,0,0,0,0,0.875
y:label=12,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0.9583
y:label=13,0,0,0,0,0,0,0,0,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0.8947
y:label=14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1
y:label=15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1
y:label=16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,1,0.8846
y:label=17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,20,0,0,0,0,0,0,0,0.9090
y:label=18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,13,0,0,0,0,0,0,0.6190
y:label=19,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,11,0,0,0,0,1,0.6111
y:label=20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1
y:label=21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1
y:label=22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,1,0.9285
y:label=23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1
y:label=24,1,0,0,1,3,0,0,0,1,0,0,0,0,0,2,2,1,2,0,0,3,3,2,0,51,0.7083
Precision,0.875,0.9230,1,0.9565,0.76,1,1,0.95,0.8,0.9629,0.9130,1,1,0.8947,0.6578,0.8285,0.8846,0.8333,1,0.9166,0.88,0.8888,0.9285,1,0.9444,
F-Measures,0.9333,0.9599,1,0.9777,0.8636,0.9473,1,0.9743,0.8571,0.9629,0.8399,0.9333,0.9787,0.8947,0.7935,0.9062,0.8846,0.8695,0.7646,0.7333,0.9361,0.9411,0.9285,1,0.8094,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,0.9025,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Precision,0.9119,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Recall,0.9181,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.F-Measures,0.9076,,,,,,,,,,,,,,,,,,,,,,,,,
