x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Top_R0\Top_R0_013.png,20,2.7561373e-05,1.727504e-05,8.9110665e-07,1.943075e-06,7.2959715e-06,1.3843609e-08,1.17916244e-07,3.9320933e-09,7.161666e-10,3.0982603e-06,1.1585293e-08,4.531621e-07,8.894909e-07,0.0003125197,1.1181198e-07,0.00019045953,1.7981296e-09,4.84664e-06,1.2334656e-10,0.0024523416,0.9942807,2.9780365e-08,0.0026854116,9.0927465e-08,1.4021048e-05
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Left_R1\Left_R0_077.png,13,1.1822357e-06,7.925189e-07,6.903263e-07,8.65308e-08,1.0868672e-05,7.916716e-10,7.585895e-07,3.4673223e-10,4.6374765e-08,0.00019099387,3.6137286e-09,8.0156e-06,6.1401778e-12,0.9987519,2.9749586e-10,0.0007079196,1.1508021e-08,8.916518e-06,1.7703396e-11,3.6734157e-06,1.0247192e-05,1.3800699e-08,7.3492315e-06,5.642325e-10,0.00029643642
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Front_R3\Front_R0_108.png,11,7.8235763e-07,2.0508239e-08,3.9745568e-10,3.5431904e-07,2.358803e-10,2.9224367e-07,4.5245284e-07,4.919856e-09,0.005235463,4.385587e-05,1.0745171e-05,0.99454206,3.912096e-09,1.5751775e-11,3.1553768e-08,1.7511323e-10,6.349222e-08,8.782176e-09,1.6001877e-05,5.809548e-09,3.6199758e-12,4.0687e-11,9.208522e-13,5.9135895e-12,0.00014989276
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Right_R2\Right_R0_046.png,18,1.6103326e-10,2.7228202e-12,2.0790258e-14,9.136206e-12,1.2125826e-15,1.1021198e-09,1.0385726e-11,6.0465122e-12,3.008248e-08,1.4630369e-10,3.733049e-09,7.2423445e-09,2.1897755e-07,5.782462e-14,1.3837202e-07,3.1354613e-11,3.940919e-11,2.8738025e-13,0.99999964,2.0889391e-14,3.636931e-17,3.979872e-12,1.0506496e-13,5.1659337e-11,2.3720919e-09
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Back_R3\Back_R0_063.png,3,0.0008168012,0.0043991827,0.0027822219,0.9666373,7.9424616e-08,6.8048356e-10,9.148729e-08,4.6944254e-10,4.4090456e-10,6.290858e-08,5.5919084e-08,1.1403712e-10,5.8951354e-08,8.6481734e-08,5.386373e-07,1.0059687e-07,6.598578e-11,2.4031126e-06,8.1101295e-09,1.5578236e-09,0.0052242735,1.878037e-09,1.9578463e-06,7.210229e-06,0.02012728
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\empty\Empty_230.png,24,0.0009192162,0.00020315095,0.00014426347,0.0001062099,0.0009393309,0.0028652416,0.0005513885,0.00032976398,0.0014764712,0.0033569704,0.0034291274,0.007633721,0.0028403709,0.00051495683,0.00029921776,0.00054659747,0.0024464077,0.0010328019,0.004419441,0.0024900143,0.0015205606,0.0007484301,0.0030389556,0.0004884353,0.95765895
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Back_R0\Back_R0_044.png,0,0.78850555,0.17004381,0.0033489359,0.03768746,1.9307018e-09,4.193227e-09,3.5509873e-10,4.4380782e-10,1.2356131e-10,1.647394e-08,1.8453044e-07,3.0342935e-09,2.27423e-06,1.4916364e-07,3.9899266e-09,1.2496718e-06,3.879363e-07,5.033294e-09,3.9499128e-07,2.7283304e-05,7.062047e-05,5.357441e-06,1.1008123e-07,7.647462e-08,0.0003062492
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Left_R3\Left_R0_053.png,15,2.7705658e-08,3.0742726e-09,6.597721e-10,1.9654676e-09,2.4945816e-11,2.2744654e-17,1.3545219e-12,6.037351e-15,1.9455373e-11,4.2373753e-08,1.8379275e-14,8.770654e-10,2.6799848e-10,2.6937698e-05,1.8327433e-10,0.99990773,1.2630648e-18,3.1137164e-09,5.456842e-11,5.7335925e-05,3.1126642e-06,2.8977296e-12,3.958133e-06,6.024609e-10,8.276475e-07
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Back_R1\Back_R0_099.png,1,4.1008943e-06,0.99693286,8.0856466e-08,0.003062846,1.6485271e-12,5.438467e-12,6.5527904e-12,2.5382958e-11,5.1918993e-11,1.870372e-12,1.09813755e-11,1.1839277e-15,2.0096385e-08,1.7533014e-13,1.41051e-11,4.6552397e-15,2.3375303e-12,1.7554021e-14,4.665238e-12,1.610165e-11,7.206489e-12,8.798973e-09,1.4571898e-11,9.166576e-11,2.2807484e-08
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Left_R1\Left_R0_113.png,13,1.3194137e-09,1.6604961e-09,1.7966773e-10,5.935388e-11,2.6279867e-11,4.477573e-16,2.3966962e-11,7.9592364e-17,6.9443386e-14,7.9612124e-07,1.0648301e-12,2.1646793e-09,3.716202e-13,0.99925727,1.4650225e-16,0.0007405234,1.6986214e-14,9.773338e-08,1.2659335e-16,8.7288385e-08,9.502411e-08,1.7334939e-12,3.1565995e-07,1.01283036e-13,5.56407e-07
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Left_R2\Left_R0_031.png,14,2.459919e-08,2.3504487e-07,3.8278533e-10,1.9887539e-05,3.7566269e-16,9.468698e-14,6.6434806e-15,9.545598e-11,6.1759695e-09,1.1684345e-13,7.0032704e-09,2.252036e-13,0.0025089358,3.1598564e-09,0.9973954,3.893499e-10,2.2417412e-10,7.142337e-13,5.2061074e-05,8.134413e-10,1.2166657e-09,2.512133e-06,3.4849232e-09,2.0873907e-05,3.5924156e-08
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Left_R2\Left_R0_057.png,14,7.324706e-10,1.6303083e-07,5.329086e-10,1.314881e-07,3.8471673e-15,1.00381285e-13,9.940269e-15,5.3340575e-14,9.539184e-09,2.4169e-15,8.01717e-09,1.6488673e-16,0.0012057942,5.0209403e-17,0.9987852,2.5346101e-15,6.697731e-08,2.2497756e-15,8.45168e-06,4.4225786e-14,3.2694969e-12,4.8432515e-08,5.1642676e-11,1.6559426e-07,1.1757517e-09
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Left_R0\Left_R0_018.png,12,1.001724e-10,8.117681e-07,3.5313807e-09,4.8240942e-08,5.913607e-14,3.0944487e-11,6.688041e-16,2.2793845e-15,2.0561245e-11,1.6251118e-14,7.075402e-08,5.4938853e-15,0.9994923,3.8969838e-14,0.00045360677,8.2498244e-13,2.0113297e-05,9.82606e-14,6.255768e-10,4.459677e-12,2.4771907e-11,3.3024695e-05,2.6566038e-11,2.9977585e-09,3.1366392e-11
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Bottom_R2\Bottom_R0_038.png,6,8.9869985e-07,5.740656e-06,4.3073973e-07,2.8565442e-08,0.0002868247,1.7232933e-09,0.99725986,1.2943208e-09,2.4930505e-06,2.5699487e-07,3.5386215e-08,1.0201771e-08,3.986441e-08,3.6061252e-07,5.828722e-10,2.574752e-07,3.5491708e-13,2.1530857e-07,4.6636805e-12,0.0002898481,6.817926e-06,2.3827884e-08,0.0021390256,4.8242543e-09,6.956629e-06
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\empty\Empty_171.png,24,0.00068946474,0.00010160415,1.4801762e-05,0.001746987,2.4405896e-08,5.9069566e-10,1.3229125e-08,4.2173815e-07,3.7559545e-08,4.8775755e-06,2.930099e-08,1.3772685e-11,6.1525607e-09,4.4252397e-07,0.00033260245,1.8711955e-06,2.7175134e-11,3.6163383e-09,2.9934046e-07,5.7955962e-08,4.3182503e-05,1.5086592e-05,9.303838e-06,1.2352106e-05,0.9970265
C:\Users\yamas\Desktop\SLIM_NNC\data_sets\25classes_focus_padding\Back_R2\Back_R0_061.png,2,0.016140403,0.004296985,0.97882676,0.0005792734,3.609557e-10,1.1999513e-12,4.7270566e-11,3.611294e-13,4.2279455e-09,4.7313913e-09,2.1985087e-10,3.922986e-12,1.9508673e-07,2.7632477e-06,5.878406e-08,1.4556689e-07,1.9941673e-09,1.3696207e-06,1.4044509e-09,3.0958458e-09,9.706092e-09,2.040832e-08,2.1880853e-05,3.8132778e-06,0.00012617551
