x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Back_R3\PICT544.png,3,0.029501943,0.0002731218,0.0062302873,0.6941204,0.00038269392,0.00057402224,0.0002793634,0.0031030462,0.0020129688,0.00016280613,0.0047499947,0.0022272612,0.049456984,0.0001860358,2.8096727e-06,0.00035375348,0.085134424,0.00040974078,2.2222495e-05,0.002777175,0.10109864,1.9779596e-05,0.00014010388,0.016780514
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R1\PICT019.png,17,0.17031771,0.08339682,0.08893064,0.004644438,0.0059775254,0.011902623,0.0011841299,0.010343639,0.011285024,0.0042644204,0.0058358777,0.0024327394,0.0002804589,0.12062772,0.024445115,4.6773202e-05,0.0010392028,0.09196445,0.03653868,0.00034680107,0.008279804,0.24850708,0.06736988,3.836595e-05
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Back_R3\PICT586.png,3,0.0027740854,0.005615172,0.16735803,0.42313734,0.01022715,0.008405363,0.023649765,0.027311223,0.003320891,0.0033966221,0.028302012,0.027539061,0.0055483347,0.00071410177,0.0010142185,0.018316519,0.031106796,0.0037881252,0.0018849374,0.054160982,0.0071226745,0.00026774924,0.0037627881,0.14127605
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Front_R1\PICT697.png,9,0.0015365685,0.06460277,0.03375209,0.0010849024,0.1547792,0.0439015,0.039414823,0.014717496,0.014408175,0.15364857,0.04905696,0.029086368,0.00047811886,0.017232921,0.19474888,0.0032461395,0.001298012,0.0073392605,0.07785528,0.020516822,1.4951934e-05,0.032465257,0.04442375,0.00039115065
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Bottom_R2\PICT470.png,6,0.049336635,0.14399634,0.011331732,0.0036570628,0.085052066,0.06528529,0.12578219,0.08467072,0.041551556,0.095534824,0.021561934,0.03214496,0.0021050945,0.024024323,0.05347452,0.0011253363,0.0040737824,0.05557641,0.03038858,0.0010028492,0.0018844218,0.06473312,0.0016488334,5.7549965e-05
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Front_R1\PICT688.png,9,0.001646992,0.034095507,0.03213002,0.0008717561,0.098109454,0.038517922,0.012914522,0.011011637,0.02097382,0.09280019,0.06831209,0.025000917,0.0003475335,0.019010441,0.33701488,0.0019619323,0.00062257354,0.007804215,0.111890554,0.007243903,3.3101624e-05,0.032178205,0.045395203,0.00011271646
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Front_R3\PICT654.png,11,0.010005247,0.026833953,0.060978692,0.01713473,0.018687716,0.044127047,0.040872365,0.013386144,0.048423585,0.066612266,0.101282135,0.056779847,0.033412255,0.0047428724,0.06419818,0.069588326,0.039828923,0.005834239,0.019955054,0.14145201,0.0044629904,0.0032131034,0.032659482,0.07552883
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Bottom_R0\PICT372.png,4,0.0029992391,0.004220048,0.005064717,0.042269904,0.17479274,0.25092596,0.10991562,0.10976162,0.027452666,0.019576339,0.058608066,0.052344736,0.0088545,0.0038480356,0.026140172,0.010905973,0.009865416,0.005858881,0.036385503,0.036218792,0.00023684077,0.0006062771,0.00183213,0.001315784
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R2\PICT055.png,18,0.005515945,0.06902631,0.12366466,0.030264974,0.122464865,0.03899178,0.08724163,0.06202162,0.0077658473,0.028341293,0.026294107,0.029103465,0.001998785,0.0042867293,0.07745682,0.0066918293,0.005169449,0.009920051,0.16312271,0.058106843,0.00033420668,0.014952401,0.020404758,0.006859018
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Top_R1\PICT193.png,21,0.04178978,0.053609934,0.023198776,0.002963513,0.030837545,0.026077775,0.018131198,0.04030307,0.018124163,0.011247143,0.007432993,0.0031170414,0.00076318596,0.013414698,0.011700778,4.209541e-05,0.0011326056,0.013238936,0.032075588,0.0007034829,0.00095698354,0.6431554,0.0059785903,4.7331737e-06
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Bottom_R0\PICT390.png,4,0.005153824,0.017874867,0.0016816658,0.008935733,0.37112543,0.10606234,0.048392627,0.051151074,0.019940691,0.026782118,0.048887443,0.032436866,0.00260062,0.1408484,0.033675652,0.00025259497,0.004553381,0.04527116,0.025514314,0.001815968,0.0002495237,0.0060918564,0.00064460194,5.7211077e-05
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Back_R1\PICT544.png,1,0.0019156964,0.49595508,0.017458064,0.00029576287,0.0027611847,0.0020597328,0.0015279121,0.00470565,0.00048336625,0.005253323,0.0013695541,0.0005517753,7.1386025e-06,0.0032957671,0.038198203,0.0052817003,3.342876e-05,0.0077872695,0.2311579,0.0012466436,2.3414346e-05,0.029867403,0.14871722,4.6683883e-05
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Bottom_R1\PICT369.png,5,0.007155366,0.0031584657,0.0028633014,0.018432148,0.062180687,0.115643814,0.16956137,0.16367358,0.030048138,0.0319131,0.033323,0.034934573,0.009007819,0.15181822,0.0019812959,0.0014417272,0.05733997,0.09054658,0.0007771433,0.010633155,0.0015354557,0.00067566853,0.00011316149,0.0012421357
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Front_R3\PICT703.png,11,0.0009464457,0.004596652,0.011725074,0.09041318,0.06392946,0.034441035,0.19383577,0.12165771,0.0097780395,0.023437515,0.03214227,0.088998534,0.008232848,0.0007045105,0.0032321769,0.14153124,0.020485861,0.0037773692,0.010783688,0.088194355,0.00087528164,8.824607e-05,0.00055726233,0.045635473
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R2\PICT061.png,18,0.010887535,0.15919632,0.0049473434,0.0006707113,0.24307929,0.01407519,0.047731366,0.052097354,0.007833098,0.10747968,0.0048608985,0.006926471,0.0006513364,0.020385642,0.052426107,0.00016098529,0.0010272174,0.038610887,0.06599067,0.0022173892,1.0232072e-05,0.1556908,0.0030399722,3.4900797e-06
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Back_R1\PICT569.png,1,0.017075285,0.19205546,0.060947787,0.0080331415,0.0045034857,0.0040620994,0.0038294415,0.0017416183,0.011188696,0.02882877,0.021683455,0.0079081915,0.0015329215,0.017479468,0.02104098,0.008236561,0.0046308944,0.007655259,0.026035042,0.009653771,0.023730243,0.22807577,0.2841157,0.005955959
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Top_R2\PICT191.png,22,0.002929077,0.024250329,0.045617,0.017065587,0.0137852365,0.0051222118,0.00084070343,0.0003247822,0.0003884451,0.0016167163,0.0036317522,0.0015967255,0.000115453055,4.822057e-05,0.036838323,0.000860904,0.00023207076,0.00019798338,0.08265298,0.0012552388,0.00011212933,0.012718684,0.74760664,0.00019278296
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Top_R3\PICT222.png,23,9.407778e-05,0.00020510318,0.0039975927,0.1285679,4.2172484e-05,0.0014291035,0.0021529023,0.0012960844,0.00032505297,0.00010095825,0.0030205327,0.0029348773,0.0023650485,0.00029572964,7.609545e-05,0.02978617,0.0111195035,0.00046292687,0.00026412331,0.021334268,0.0035394796,2.398432e-06,0.0026129938,0.7839749
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Left_R1\PICT298.png,13,0.003635109,0.06074047,0.0040813955,0.0005289907,0.0051358845,0.00825476,0.0025470569,0.00764272,0.011988455,0.009402876,0.017398218,0.0018418112,0.00025488756,0.53057396,0.0092966715,0.0033109535,0.00079088646,0.032109667,0.039461005,0.0016135637,0.016603578,0.15315446,0.07962436,8.294104e-06
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Top_R1\PICT204.png,21,0.15777342,0.10279616,0.006507431,0.0011620715,0.0077741942,0.00084767333,0.0009286416,0.005400687,0.0069840346,0.007202204,0.0027382758,0.0014125241,0.0014887832,0.047419023,0.0018025576,3.1452637e-06,0.003354516,0.10770511,0.0019049083,3.4684443e-05,0.06757724,0.46678853,0.00035703953,3.721282e-05
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R0\PICT075.png,16,0.05875653,0.022855645,0.012279732,0.12291531,0.11029392,0.015647592,0.049859088,0.11147682,0.042094722,0.021585293,0.04654642,0.08495175,0.06418565,0.034534454,0.0026673425,0.0007719673,0.09082868,0.054355513,0.005232344,0.0067420388,0.0256615,0.012747988,0.0008818132,0.0021278316
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Top_R1\PICT209.png,21,0.046243906,0.0669613,0.0043202755,0.0024482282,0.0012362802,0.00032801335,0.0017231755,0.004787078,0.001029904,0.0022229669,0.0005875168,0.00057303166,0.00071313814,0.14273381,0.0025690892,2.2412822e-05,0.0030453107,0.22812442,0.002618828,0.00021858633,0.022422455,0.46448514,0.00053434103,5.0720897e-05
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Bottom_R1\PICT449.png,5,0.014208296,0.028691312,0.014327116,0.017122753,0.053957287,0.29809758,0.1873512,0.24593382,0.017007846,0.010358203,0.025595699,0.0073213414,0.0033739053,0.009043495,0.008966989,0.004636809,0.00874747,0.016847309,0.011683971,0.013137025,0.0005375111,0.0018846231,0.001012834,0.00015558078
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Left_R1\PICT299.png,13,0.004378578,0.07074398,0.0066428767,0.0015668564,0.0067762313,0.0071689067,0.0020304553,0.007093672,0.007676759,0.01049001,0.02232959,0.0020903985,0.00029611672,0.5243782,0.004791438,0.0064847106,0.0017520635,0.034037624,0.020100582,0.002729647,0.016680548,0.0791874,0.16053961,3.3767497e-05
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R3\PICT067.png,19,0.0016692962,0.0028547633,0.008464656,0.013951843,0.017709902,0.16179214,0.21338534,0.07642321,0.04273155,0.044954326,0.080486946,0.06418402,0.039553676,0.003932367,0.040460587,0.023950204,0.0573829,0.014228698,0.011018378,0.060666457,0.0013435371,0.0012625757,0.004030674,0.013561906
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R2\PICT064.png,18,0.015181682,0.025216231,0.016140273,0.03960895,0.15801777,0.07067666,0.012750874,0.022463743,0.026967492,0.022320539,0.06175399,0.02696047,0.011396403,0.008486932,0.10591076,0.0012734061,0.005868889,0.015687034,0.24421272,0.0076501244,0.0017960953,0.045175005,0.053988144,0.0004957859
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R0\PICT115.png,16,0.05280876,0.015086208,0.011132147,0.05348261,0.009654792,0.012135344,0.04535164,0.009661028,0.039751943,0.029596694,0.0189837,0.025755364,0.19556391,0.009677608,0.0021987108,0.009830685,0.24359594,0.0133837005,0.0014980547,0.044077415,0.09188941,0.0041598524,0.0045524924,0.056171957
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Left_R1\PICT338.png,13,0.016826224,0.006169047,0.0012297455,0.009534217,0.009946059,0.091284506,0.07201114,0.051121645,0.10549836,0.027148671,0.049716022,0.051299464,0.033357978,0.116400145,0.05339931,0.03159813,0.043540858,0.11938465,0.0126559865,0.008659039,0.08298288,0.0017822551,0.0007408326,0.0037127465
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Bottom_R2\PICT405.png,6,0.0055036135,0.009136804,0.034873623,0.07071664,0.0086415,0.018004004,0.07025068,0.01849421,0.020728277,0.039363615,0.06525335,0.08205704,0.056107916,0.0027502538,0.0065928483,0.025143616,0.111076266,0.009102268,0.0025459605,0.036830153,0.01782826,0.0022907024,0.003903536,0.28280494
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Back_R2\PICT572.png,2,0.038251985,0.15054823,0.24415001,0.006865208,0.005939915,0.00455557,0.00052258314,0.0008151097,0.0011940028,0.0034128495,0.0040917047,0.0033453677,1.0888685e-05,0.00058110553,0.050498042,1.2309584e-05,9.2051014e-05,0.0025571885,0.024643224,5.8585785e-05,0.00013564609,0.320294,0.13733636,8.809609e-05
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R2\PICT084.png,18,0.020182125,0.077336624,0.06263215,0.00951907,0.016997915,0.009017921,0.0044397777,0.008391879,0.027021583,0.022975149,0.038601726,0.030333621,0.004026285,0.018543594,0.1557773,0.012477655,0.005200121,0.018442146,0.15890822,0.023200685,0.00756882,0.056911245,0.20524488,0.0062495493
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Top_R2\PICT222.png,22,0.00018210955,0.014524591,0.099568024,0.002697136,0.0021872402,0.0058062645,0.002507034,0.00037884768,0.00011863324,0.0005318659,0.0016000116,0.00034407788,4.5100987e-05,1.9173494e-05,0.019647697,0.01938401,0.0001309546,8.655852e-05,0.02977369,0.01704122,1.2830767e-05,0.0003216312,0.7818688,0.0012225069
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R3\PICT073.png,19,0.002551254,0.013709959,0.1969269,0.08561998,0.0047679762,0.030570865,0.04907055,0.04519995,0.0033385889,0.004878833,0.021055955,0.004688032,0.002592859,0.0008359405,0.0010250771,0.13609342,0.017762735,0.0018584146,0.0029448755,0.32448596,0.0014573848,0.00014445347,0.010540199,0.03787977
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R1\PICT100.png,17,0.2018213,0.0454279,0.004902793,0.015563153,0.0051524257,0.009541083,0.01229026,0.030950913,0.030574903,0.011934882,0.010555378,0.005794354,0.015304303,0.31779796,0.0009076333,0.00031414296,0.049152218,0.11973231,0.0012713622,0.002008473,0.08032919,0.0267747,0.0015419123,0.00035659494
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Front_R1\PICT726.png,9,0.011532108,0.0010257335,0.0002410227,0.006193463,0.016554412,0.012478479,0.01949294,0.06456047,0.1401034,0.043757655,0.04402354,0.059248146,0.18042904,0.112902105,0.0028655613,0.00069099816,0.07902715,0.09350442,0.0029721076,0.001103623,0.09815128,0.008686859,0.00025138902,0.00020401599
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Front_R3\PICT670.png,11,0.00092788937,0.0005141559,0.0009623972,0.0012573316,0.026128853,0.011504754,0.028225392,0.03081211,0.18974589,0.1497708,0.14795046,0.22115377,0.075902194,0.011047742,0.012382095,0.017573092,0.037356697,0.009217253,0.003442013,0.0112795215,0.008196636,0.0013310536,0.0004988101,0.0028191346
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Left_R3\PICT316.png,15,2.510622e-05,6.607477e-05,0.0029052405,0.005999727,0.0024973042,0.01644378,0.008879537,0.0079668,0.0014711407,0.0009449437,0.013585804,0.008513509,0.0013643475,8.333982e-05,0.0005794162,0.629922,0.0072305673,0.00010686707,0.0009650801,0.17773993,0.00020094756,2.6001703e-07,0.0018085713,0.11069969
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R2\PICT096.png,18,0.0012761281,0.003161508,0.004707117,0.00323042,0.0015442455,0.0031720584,0.00038082403,0.0028797511,0.015993143,0.002936118,0.026886703,0.010310273,0.0028766138,0.0014062326,0.10221747,0.018774442,0.00065742596,0.003977852,0.5237008,0.0025722936,0.023971869,0.014787402,0.22779144,0.000787857
