x:image,y:label
.\Left_R1\PICT357.png,13
.\Right_R0\PICT023.png,16
.\Top_R0\PICT231.png,20
.\Bottom_R3\PICT389.png,7
.\Front_R1\PICT631.png,9
.\Back_R2\PICT581.png,2
.\Left_R3\PICT353.png,15
.\Front_R1\PICT705.png,9
.\Left_R0\PICT268.png,12
.\Bottom_R3\PICT441.png,7
.\Top_R2\PICT223.png,22
.\Back_R3\PICT513.png,3
.\Left_R0\PICT281.png,12
.\Bottom_R2\PICT390.png,6
.\Front_R3\PICT683.png,11
.\Right_R3\PICT088.png,19
.\Back_R2\PICT483.png,2
.\Bottom_R2\PICT386.png,6
.\Right_R3\PICT081.png,19
.\Bottom_R3\PICT416.png,7
.\Back_R3\PICT557.png,3
.\Right_R0\PICT056.png,16
.\Back_R1\PICT496.png,1
.\Front_R0\PICT643.png,8
.\Right_R1\PICT076.png,17
.\Top_R0\PICT220.png,20
.\Back_R2\PICT561.png,2
.\Back_R0\PICT512.png,0
.\Bottom_R0\PICT416.png,4
.\empty\PICT047.png,24
.\Bottom_R2\PICT401.png,6
.\Left_R1\PICT276.png,13
.\Front_R3\PICT617.png,11
.\Front_R2\PICT719.png,10
.\Front_R2\PICT630.png,10
.\Front_R2\PICT613.png,10
.\Right_R2\PICT069.png,18
.\Top_R3\PICT175.png,23
.\Front_R1\PICT635.png,9
.\Front_R1\PICT718.png,9
.\Bottom_R0\PICT375.png,4
.\Front_R1\PICT719.png,9
.\Bottom_R2\PICT394.png,6
.\Back_R0\PICT533.png,0
.\Bottom_R1\PICT434.png,5
.\Top_R0\PICT174.png,20
.\Back_R0\PICT537.png,0
.\Front_R3\PICT720.png,11
.\Top_R0\PICT139.png,20
.\Right_R2\PICT031.png,18
.\Back_R0\PICT556.png,0
.\Left_R1\PICT338.png,13
.\Top_R2\PICT187.png,22
.\Back_R0\PICT584.png,0
.\Left_R1\PICT329.png,13
.\Left_R1\PICT305.png,13
.\Left_R2\PICT323.png,14
.\Back_R2\PICT610.png,2
.\empty\PICT086.png,24
.\Bottom_R1\PICT469.png,5
.\Bottom_R1\PICT462.png,5
.\Front_R3\PICT668.png,11
.\Top_R3\PICT121.png,23
.\Top_R1\PICT165.png,21
.\Bottom_R3\PICT412.png,7
.\Front_R0\PICT657.png,8
.\Bottom_R0\PICT470.png,4
.\Top_R0\PICT146.png,20
.\Front_R0\PICT737.png,8
.\Bottom_R1\PICT454.png,5
.\Top_R2\PICT210.png,22
.\Front_R2\PICT733.png,10
.\Front_R1\PICT676.png,9
.\Left_R0\PICT267.png,12
.\Front_R1\PICT737.png,9
.\Bottom_R2\PICT451.png,6
.\Front_R2\PICT621.png,10
.\Top_R2\PICT216.png,22
.\Top_R0\PICT164.png,20
.\Back_R2\PICT486.png,2
.\Left_R2\PICT314.png,14
.\Left_R1\PICT254.png,13
.\Bottom_R1\PICT390.png,5
.\Top_R2\PICT194.png,22
.\Front_R1\PICT738.png,9
.\Top_R3\PICT165.png,23
.\Back_R1\PICT509.png,1
.\Left_R1\PICT360.png,13
.\Back_R1\PICT567.png,1
.\Top_R1\PICT154.png,21
.\Bottom_R0\PICT460.png,4
.\Back_R1\PICT592.png,1
.\Top_R1\PICT143.png,21
.\Front_R1\PICT649.png,9
.\Back_R2\PICT562.png,2
.\Front_R3\PICT697.png,11
.\Front_R0\PICT662.png,8
.\Back_R3\PICT529.png,3
.\Bottom_R3\PICT399.png,7
.\Right_R3\PICT094.png,19
.\Top_R3\PICT181.png,23
.\Left_R1\PICT356.png,13
.\Right_R3\PICT056.png,19
.\Back_R2\PICT528.png,2
.\empty\PICT053.png,24
.\Right_R3\PICT065.png,19
.\Bottom_R3\PICT469.png,7
.\Front_R2\PICT695.png,10
.\Front_R2\PICT641.png,10
.\Left_R1\PICT244.png,13
.\Back_R0\PICT612.png,0
.\Top_R3\PICT129.png,23
.\Back_R0\PICT515.png,0
.\Right_R2\PICT085.png,18
.\Right_R2\PICT029.png,18
.\Front_R1\PICT690.png,9
.\Bottom_R3\PICT458.png,7
.\Back_R3\PICT509.png,3
.\Front_R0\PICT681.png,8
.\Back_R2\PICT566.png,2
.\empty\PICT002.png,24
.\Bottom_R0\PICT409.png,4
.\Top_R3\PICT179.png,23
.\Right_R1\PICT085.png,17
.\Right_R2\PICT020.png,18
.\Front_R0\PICT703.png,8
.\Top_R2\PICT158.png,22
.\Left_R0\PICT282.png,12
.\Left_R0\PICT327.png,12
.\empty\PICT050.png,24
.\Top_R0\PICT204.png,20
.\Top_R0\PICT186.png,20
.\Bottom_R2\PICT388.png,6
.\Right_R2\PICT078.png,18
.\Right_R3\PICT099.png,19
.\Top_R0\PICT122.png,20
.\empty\PICT105.png,24
.\Top_R1\PICT168.png,21
.\Top_R1\PICT189.png,21
.\Front_R3\PICT613.png,11
.\Top_R1\PICT159.png,21
.\Bottom_R3\PICT442.png,7
.\Back_R0\PICT487.png,0
.\Front_R3\PICT664.png,11
.\Bottom_R2\PICT457.png,6
.\Front_R1\PICT680.png,9
.\Back_R2\PICT585.png,2
.\Back_R0\PICT495.png,0
.\Left_R3\PICT346.png,15
.\Back_R3\PICT551.png,3
.\Left_R0\PICT246.png,12
.\Back_R2\PICT517.png,2
.\Bottom_R2\PICT398.png,6
.\Left_R1\PICT335.png,13
.\Bottom_R3\PICT390.png,7
.\Right_R3\PICT074.png,19
.\Top_R1\PICT131.png,21
.\Front_R1\PICT633.png,9
.\Left_R2\PICT262.png,14
.\Top_R2\PICT189.png,22
.\Back_R2\PICT514.png,2
.\Left_R3\PICT321.png,15
.\Back_R2\PICT547.png,2
.\Back_R0\PICT574.png,0
.\Front_R2\PICT721.png,10
