x:image,y:label,y'__0,y'__1
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT066.png,0,0.37169755,0.62830245
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT093.png,0,0.5661899,0.43381017
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT004.png,0,0.5150687,0.48493132
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT124.png,0,0.5742514,0.4257486
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT075.png,0,0.50006837,0.4999316
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT018.png,1,0.38631386,0.6136861
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT113.png,1,0.35668665,0.64331335
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT052.png,0,0.5431222,0.45687777
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT051.png,0,0.47453254,0.52546746
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT094.png,1,0.4258958,0.5741042
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT122.png,0,0.42059737,0.5794026
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT102.png,1,0.28395244,0.7160475
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT064.png,1,0.5582612,0.4417388
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT016.png,0,0.5253118,0.4746882
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT033.png,1,0.45093182,0.5490682
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT099.png,0,0.5505201,0.44947985
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT123.png,0,0.50569785,0.49430212
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT043.png,0,0.64775026,0.35224974
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT024.png,0,0.4558275,0.5441725
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT019.png,1,0.36738628,0.6326137
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT032.png,1,0.5567405,0.44325948
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT022.png,1,0.62471527,0.37528473
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT057.png,1,0.54669356,0.45330644
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT106.png,1,0.2760736,0.7239264
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT008.png,0,0.48377782,0.5162222
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\back_ground\PICT003.png,0,0.56910837,0.43089163
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\corn\PICT016.png,1,0.5450278,0.45497224
