x:image,y:label,y'__0,y'__1
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT018.png,1,0.5129584,0.48704162
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT069.png,1,0.5141278,0.48587215
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT039.png,1,0.5141295,0.48587045
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\back_ground_square\PICT031.png,0,0.5182751,0.4817249
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT111.png,1,0.521264,0.478736
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT034.png,1,0.5297396,0.47026035
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT097.png,1,0.5307395,0.46926054
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT026.png,1,0.5598577,0.44014227
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT090.png,1,0.52966464,0.47033536
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\back_ground_square\PICT022.png,0,0.5252399,0.47476014
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\back_ground_square\PICT060.png,0,0.5429291,0.45707086
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\back_ground_square\PICT056.png,0,0.5111166,0.48888338
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\back_ground_square\PICT079.png,0,0.5371248,0.46287522
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\back_ground_square\PICT118.png,0,0.48307827,0.51692176
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT110.png,1,0.51966953,0.48033047
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\back_ground_square\PICT023.png,0,0.52561736,0.4743826
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\back_ground_square\PICT003.png,0,0.52103716,0.4789628
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT059.png,1,0.5223981,0.4776019
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT081.png,1,0.52901775,0.47098222
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\back_ground_square\PICT029.png,0,0.52818155,0.47181842
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT096.png,1,0.5252751,0.4747249
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\corn_square\PICT104.png,1,0.52093416,0.4790658
C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset2\back_ground_square\PICT108.png,0,0.5153215,0.4846785
