x:image,y:label
.\corn_square\PICT043.png,1
.\corn_square\PICT021.png,1
.\back_ground_square\PICT014.png,0
.\corn_square\PICT040.png,1
.\corn_square\PICT031.png,1
.\corn_square\PICT062.png,1
.\corn_square\PICT071.png,1
.\back_ground_square\PICT124.png,0
.\back_ground_square\PICT116.png,0
.\corn_square\PICT035.png,1
.\corn_square\PICT011.png,1
.\back_ground_square\PICT063.png,0
.\corn_square\PICT047.png,1
.\corn_square\PICT058.png,1
.\back_ground_square\PICT024.png,0
.\corn_square\PICT074.png,1
.\corn_square\PICT022.png,1
.\corn_square\PICT044.png,1
.\back_ground_square\PICT113.png,0
.\back_ground_square\PICT094.png,0
.\back_ground_square\PICT052.png,0
.\corn_square\PICT100.png,1
.\back_ground_square\PICT050.png,0
.\back_ground_square\PICT122.png,0
.\corn_square\PICT028.png,1
.\back_ground_square\PICT067.png,0
.\corn_square\PICT006.png,1
.\corn_square\PICT103.png,1
.\back_ground_square\PICT101.png,0
.\back_ground_square\PICT086.png,0
.\corn_square\PICT102.png,1
.\back_ground_square\PICT062.png,0
.\back_ground_square\PICT106.png,0
.\corn_square\PICT020.png,1
.\back_ground_square\PICT027.png,0
.\back_ground_square\PICT100.png,0
.\back_ground_square\PICT036.png,0
.\back_ground_square\PICT017.png,0
.\back_ground_square\PICT125.png,0
.\back_ground_square\PICT026.png,0
.\back_ground_square\PICT035.png,0
.\back_ground_square\PICT074.png,0
.\corn_square\PICT014.png,1
.\back_ground_square\PICT064.png,0
.\back_ground_square\PICT107.png,0
.\corn_square\PICT120.png,1
.\back_ground_square\PICT098.png,0
.\back_ground_square\PICT034.png,0
.\corn_square\PICT099.png,1
.\corn_square\PICT101.png,1
.\corn_square\PICT079.png,1
.\corn_square\PICT050.png,1
.\corn_square\PICT116.png,1
.\back_ground_square\PICT032.png,0
.\back_ground_square\PICT083.png,0
.\corn_square\PICT118.png,1
.\corn_square\PICT080.png,1
.\back_ground_square\PICT057.png,0
.\back_ground_square\PICT102.png,0
.\corn_square\PICT046.png,1
.\back_ground_square\PICT037.png,0
.\corn_square\PICT094.png,1
.\corn_square\PICT003.png,1
.\back_ground_square\PICT075.png,0
.\back_ground_square\PICT069.png,0
.\back_ground_square\PICT016.png,0
.\back_ground_square\PICT092.png,0
.\corn_square\PICT092.png,1
.\back_ground_square\PICT114.png,0
.\corn_square\PICT083.png,1
.\back_ground_square\PICT087.png,0
.\corn_square\PICT042.png,1
.\back_ground_square\PICT040.png,0
.\back_ground_square\PICT042.png,0
.\back_ground_square\PICT082.png,0
.\corn_square\PICT052.png,1
.\corn_square\PICT106.png,1
.\corn_square\PICT033.png,1
.\corn_square\PICT004.png,1
.\back_ground_square\PICT115.png,0
.\back_ground_square\PICT099.png,0
.\back_ground_square\PICT110.png,0
.\back_ground_square\PICT117.png,0
.\back_ground_square\PICT112.png,0
.\corn_square\PICT072.png,1
.\corn_square\PICT023.png,1
.\corn_square\PICT087.png,1
.\corn_square\PICT108.png,1
.\back_ground_square\PICT011.png,0
.\back_ground_square\PICT088.png,0
.\corn_square\PICT049.png,1
.\back_ground_square\PICT002.png,0
.\back_ground_square\PICT019.png,0
.\back_ground_square\PICT093.png,0
.\back_ground_square\PICT051.png,0
.\corn_square\PICT001.png,1
.\corn_square\PICT055.png,1
.\corn_square\PICT030.png,1
.\back_ground_square\PICT065.png,0
.\back_ground_square\PICT084.png,0
.\corn_square\PICT095.png,1
.\corn_square\PICT063.png,1
.\back_ground_square\PICT066.png,0
.\corn_square\PICT007.png,1
.\back_ground_square\PICT119.png,0
.\back_ground_square\PICT109.png,0
.\corn_square\PICT019.png,1
.\back_ground_square\PICT104.png,0
.\corn_square\PICT076.png,1
.\corn_square\PICT041.png,1
.\back_ground_square\PICT010.png,0
.\corn_square\PICT051.png,1
.\corn_square\PICT012.png,1
.\back_ground_square\PICT120.png,0
.\corn_square\PICT002.png,1
.\back_ground_square\PICT000.png,0
.\corn_square\PICT013.png,1
.\back_ground_square\PICT018.png,0
.\back_ground_square\PICT039.png,0
.\back_ground_square\PICT033.png,0
.\back_ground_square\PICT091.png,0
.\corn_square\PICT077.png,1
.\back_ground_square\PICT058.png,0
.\back_ground_square\PICT028.png,0
.\corn_square\PICT024.png,1
.\corn_square\PICT105.png,1
.\back_ground_square\PICT078.png,0
.\back_ground_square\PICT008.png,0
.\back_ground_square\PICT077.png,0
.\back_ground_square\PICT009.png,0
.\corn_square\PICT085.png,1
.\corn_square\PICT070.png,1
.\corn_square\PICT032.png,1
.\back_ground_square\PICT020.png,0
.\back_ground_square\PICT015.png,0
.\corn_square\PICT015.png,1
.\corn_square\PICT053.png,1
.\back_ground_square\PICT105.png,0
.\back_ground_square\PICT038.png,0
.\corn_square\PICT093.png,1
.\back_ground_square\PICT061.png,0
.\back_ground_square\PICT049.png,0
.\back_ground_square\PICT072.png,0
.\back_ground_square\PICT045.png,0
.\corn_square\PICT115.png,1
.\back_ground_square\PICT044.png,0
.\back_ground_square\PICT103.png,0
.\corn_square\PICT045.png,1
.\corn_square\PICT084.png,1
.\back_ground_square\PICT097.png,0
.\back_ground_square\PICT070.png,0
.\corn_square\PICT057.png,1
.\back_ground_square\PICT068.png,0
.\back_ground_square\PICT025.png,0
.\back_ground_square\PICT048.png,0
.\corn_square\PICT000.png,1
.\back_ground_square\PICT030.png,0
.\corn_square\PICT037.png,1
.\corn_square\PICT016.png,1
.\corn_square\PICT009.png,1
.\corn_square\PICT075.png,1
.\corn_square\PICT117.png,1
.\corn_square\PICT113.png,1
.\corn_square\PICT068.png,1
.\corn_square\PICT098.png,1
.\corn_square\PICT008.png,1
.\corn_square\PICT067.png,1
.\corn_square\PICT025.png,1
.\corn_square\PICT114.png,1
.\corn_square\PICT027.png,1
