x:image,y:label
.\corn\PICT036.png,1
.\back_ground\PICT069.png,0
.\back_ground\PICT103.png,0
.\back_ground\PICT114.png,0
.\back_ground\PICT106.png,0
.\back_ground\PICT085.png,0
.\back_ground\PICT023.png,0
.\corn\PICT043.png,1
.\back_ground\PICT022.png,0
.\back_ground\PICT000.png,0
.\corn\PICT034.png,1
.\back_ground\PICT081.png,0
.\back_ground\PICT025.png,0
.\back_ground\PICT118.png,0
.\back_ground\PICT077.png,0
.\back_ground\PICT029.png,0
.\back_ground\PICT011.png,0
.\back_ground\PICT050.png,0
.\back_ground\PICT026.png,0
.\corn\PICT086.png,1
.\back_ground\PICT101.png,0
.\corn\PICT083.png,1
.\corn\PICT101.png,1
.\back_ground\PICT109.png,0
.\corn\PICT008.png,1
.\back_ground\PICT088.png,0
.\corn\PICT029.png,1
.\corn\PICT007.png,1
.\back_ground\PICT089.png,0
.\corn\PICT119.png,1
.\back_ground\PICT002.png,0
.\corn\PICT114.png,1
.\corn\PICT048.png,1
.\back_ground\PICT105.png,0
.\corn\PICT042.png,1
.\back_ground\PICT073.png,0
.\corn\PICT093.png,1
.\corn\PICT100.png,1
.\back_ground\PICT055.png,0
.\back_ground\PICT027.png,0
.\back_ground\PICT017.png,0
.\corn\PICT068.png,1
.\back_ground\PICT074.png,0
.\back_ground\PICT006.png,0
.\corn\PICT005.png,1
.\back_ground\PICT068.png,0
.\back_ground\PICT054.png,0
.\back_ground\PICT034.png,0
.\back_ground\PICT078.png,0
.\corn\PICT060.png,1
.\back_ground\PICT062.png,0
.\corn\PICT070.png,1
.\back_ground\PICT116.png,0
.\back_ground\PICT036.png,0
.\back_ground\PICT001.png,0
.\corn\PICT044.png,1
.\corn\PICT063.png,1
.\corn\PICT009.png,1
.\corn\PICT115.png,1
.\back_ground\PICT044.png,0
.\corn\PICT073.png,1
.\back_ground\PICT064.png,0
.\corn\PICT092.png,1
.\back_ground\PICT094.png,0
.\corn\PICT031.png,1
.\corn\PICT056.png,1
.\corn\PICT000.png,1
.\back_ground\PICT060.png,0
.\back_ground\PICT071.png,0
.\back_ground\PICT121.png,0
.\back_ground\PICT032.png,0
.\corn\PICT104.png,1
.\corn\PICT010.png,1
.\corn\PICT096.png,1
.\back_ground\PICT091.png,0
.\back_ground\PICT113.png,0
.\back_ground\PICT033.png,0
.\corn\PICT084.png,1
.\corn\PICT038.png,1
.\back_ground\PICT009.png,0
.\back_ground\PICT047.png,0
.\corn\PICT085.png,1
.\corn\PICT071.png,1
.\corn\PICT006.png,1
.\back_ground\PICT061.png,0
.\back_ground\PICT063.png,0
.\corn\PICT080.png,1
.\corn\PICT110.png,1
.\back_ground\PICT012.png,0
.\back_ground\PICT084.png,0
.\corn\PICT045.png,1
.\back_ground\PICT108.png,0
.\corn\PICT011.png,1
.\back_ground\PICT046.png,0
.\back_ground\PICT104.png,0
.\back_ground\PICT048.png,0
.\back_ground\PICT082.png,0
.\corn\PICT098.png,1
.\back_ground\PICT076.png,0
.\corn\PICT030.png,1
.\corn\PICT028.png,1
.\corn\PICT002.png,1
.\back_ground\PICT053.png,0
.\back_ground\PICT083.png,0
.\corn\PICT053.png,1
.\back_ground\PICT021.png,0
.\corn\PICT059.png,1
.\corn\PICT095.png,1
.\back_ground\PICT079.png,0
.\back_ground\PICT090.png,0
.\corn\PICT097.png,1
.\back_ground\PICT042.png,0
.\corn\PICT074.png,1
.\corn\PICT017.png,1
.\corn\PICT088.png,1
.\back_ground\PICT086.png,0
.\back_ground\PICT119.png,0
.\corn\PICT015.png,1
.\corn\PICT039.png,1
.\corn\PICT099.png,1
.\back_ground\PICT014.png,0
.\back_ground\PICT028.png,0
.\corn\PICT013.png,1
.\corn\PICT116.png,1
.\corn\PICT023.png,1
.\corn\PICT065.png,1
.\corn\PICT072.png,1
.\back_ground\PICT117.png,0
.\back_ground\PICT120.png,0
.\back_ground\PICT095.png,0
.\corn\PICT111.png,1
.\corn\PICT051.png,1
.\corn\PICT105.png,1
.\corn\PICT055.png,1
.\back_ground\PICT111.png,0
.\corn\PICT037.png,1
.\back_ground\PICT059.png,0
.\corn\PICT082.png,1
.\back_ground\PICT058.png,0
.\back_ground\PICT097.png,0
.\corn\PICT024.png,1
.\corn\PICT054.png,1
.\corn\PICT076.png,1
.\back_ground\PICT039.png,0
.\back_ground\PICT019.png,0
.\back_ground\PICT110.png,0
.\back_ground\PICT030.png,0
.\back_ground\PICT010.png,0
.\back_ground\PICT112.png,0
.\back_ground\PICT049.png,0
.\corn\PICT058.png,1
.\corn\PICT025.png,1
.\corn\PICT061.png,1
.\back_ground\PICT065.png,0
.\corn\PICT075.png,1
.\back_ground\PICT072.png,0
.\corn\PICT118.png,1
.\back_ground\PICT107.png,0
.\corn\PICT062.png,1
.\corn\PICT109.png,1
.\back_ground\PICT056.png,0
.\corn\PICT103.png,1
.\corn\PICT041.png,1
.\back_ground\PICT041.png,0
.\back_ground\PICT092.png,0
.\corn\PICT047.png,1
.\corn\PICT077.png,1
.\back_ground\PICT013.png,0
.\corn\PICT108.png,1
.\corn\PICT012.png,1
.\back_ground\PICT067.png,0
.\back_ground\PICT100.png,0
.\back_ground\PICT087.png,0
.\back_ground\PICT035.png,0
.\corn\PICT078.png,1
.\back_ground\PICT020.png,0
.\corn\PICT020.png,1
.\corn\PICT069.png,1
.\back_ground\PICT125.png,0
.\back_ground\PICT098.png,0
.\corn\PICT026.png,1
.\back_ground\PICT031.png,0
.\back_ground\PICT037.png,0
.\back_ground\PICT038.png,0
.\corn\PICT117.png,1
.\back_ground\PICT040.png,0
.\corn\PICT112.png,1
.\corn\PICT001.png,1
.\back_ground\PICT018.png,0
.\corn\PICT067.png,1
.\corn\PICT049.png,1
.\corn\PICT035.png,1
.\back_ground\PICT015.png,0
.\back_ground\PICT057.png,0
.\back_ground\PICT005.png,0
.\corn\PICT040.png,1
