x:image,y:label
.\corn_edit\PICT030.png,1
.\corn_edit\PICT051.png,1
.\back_ground_square\PICT050.png,0
.\back_ground_square\PICT073.png,0
.\corn_edit\PICT037.png,1
.\back_ground_square\PICT029.png,0
.\corn_edit\PICT107.png,1
.\corn_edit\PICT053.png,1
.\corn_edit\PICT052.png,1
.\corn_edit\PICT001.png,1
.\back_ground_square\PICT057.png,0
.\back_ground_square\PICT049.png,0
.\back_ground_square\PICT123.png,0
.\back_ground_square\PICT033.png,0
.\back_ground_square\PICT124.png,0
.\corn_edit\PICT078.png,1
.\back_ground_square\PICT040.png,0
.\back_ground_square\PICT085.png,0
.\corn_edit\PICT045.png,1
.\corn_edit\PICT097.png,1
.\corn_edit\PICT106.png,1
.\back_ground_square\PICT103.png,0
.\back_ground_square\PICT118.png,0
.\corn_edit\PICT055.png,1
.\corn_edit\PICT006.png,1
.\back_ground_square\PICT077.png,0
.\back_ground_square\PICT030.png,0
.\corn_edit\PICT061.png,1
.\corn_edit\PICT068.png,1
.\corn_edit\PICT076.png,1
.\corn_edit\PICT074.png,1
.\corn_edit\PICT034.png,1
.\back_ground_square\PICT059.png,0
.\back_ground_square\PICT022.png,0
.\back_ground_square\PICT063.png,0
.\corn_edit\PICT013.png,1
.\back_ground_square\PICT005.png,0
.\back_ground_square\PICT056.png,0
.\corn_edit\PICT046.png,1
.\corn_edit\PICT049.png,1
.\back_ground_square\PICT125.png,0
.\corn_edit\PICT110.png,1
.\back_ground_square\PICT051.png,0
.\corn_edit\PICT103.png,1
.\back_ground_square\PICT006.png,0
.\corn_edit\PICT116.png,1
.\corn_edit\PICT099.png,1
.\back_ground_square\PICT116.png,0
.\corn_edit\PICT098.png,1
.\back_ground_square\PICT036.png,0
.\back_ground_square\PICT089.png,0
.\corn_edit\PICT038.png,1
.\back_ground_square\PICT088.png,0
.\corn_edit\PICT083.png,1
.\back_ground_square\PICT104.png,0
.\back_ground_square\PICT081.png,0
.\back_ground_square\PICT047.png,0
.\back_ground_square\PICT112.png,0
.\corn_edit\PICT000.png,1
.\corn_edit\PICT087.png,1
.\corn_edit\PICT024.png,1
.\back_ground_square\PICT109.png,0
.\back_ground_square\PICT108.png,0
.\back_ground_square\PICT101.png,0
.\back_ground_square\PICT097.png,0
.\back_ground_square\PICT114.png,0
.\corn_edit\PICT002.png,1
.\back_ground_square\PICT032.png,0
.\corn_edit\PICT070.png,1
.\back_ground_square\PICT028.png,0
.\corn_edit\PICT039.png,1
.\back_ground_square\PICT087.png,0
.\back_ground_square\PICT014.png,0
.\corn_edit\PICT081.png,1
.\back_ground_square\PICT048.png,0
.\back_ground_square\PICT093.png,0
.\back_ground_square\PICT079.png,0
.\corn_edit\PICT017.png,1
.\corn_edit\PICT096.png,1
.\corn_edit\PICT085.png,1
.\back_ground_square\PICT071.png,0
.\back_ground_square\PICT011.png,0
.\corn_edit\PICT022.png,1
.\corn_edit\PICT036.png,1
.\back_ground_square\PICT076.png,0
.\corn_edit\PICT086.png,1
.\corn_edit\PICT111.png,1
.\back_ground_square\PICT023.png,0
.\back_ground_square\PICT086.png,0
.\back_ground_square\PICT062.png,0
.\corn_edit\PICT023.png,1
.\corn_edit\PICT005.png,1
.\corn_edit\PICT065.png,1
.\back_ground_square\PICT119.png,0
.\corn_edit\PICT018.png,1
.\corn_edit\PICT108.png,1
.\back_ground_square\PICT106.png,0
.\corn_edit\PICT120.png,1
.\back_ground_square\PICT105.png,0
.\corn_edit\PICT089.png,1
.\back_ground_square\PICT092.png,0
.\corn_edit\PICT016.png,1
.\back_ground_square\PICT042.png,0
.\back_ground_square\PICT094.png,0
.\back_ground_square\PICT007.png,0
.\back_ground_square\PICT046.png,0
.\back_ground_square\PICT002.png,0
.\back_ground_square\PICT020.png,0
.\back_ground_square\PICT012.png,0
.\back_ground_square\PICT009.png,0
.\back_ground_square\PICT053.png,0
.\back_ground_square\PICT008.png,0
.\corn_edit\PICT113.png,1
.\back_ground_square\PICT019.png,0
.\back_ground_square\PICT121.png,0
.\back_ground_square\PICT061.png,0
.\corn_edit\PICT102.png,1
.\corn_edit\PICT109.png,1
.\back_ground_square\PICT016.png,0
.\back_ground_square\PICT091.png,0
.\corn_edit\PICT119.png,1
.\back_ground_square\PICT069.png,0
.\corn_edit\PICT117.png,1
.\back_ground_square\PICT113.png,0
.\back_ground_square\PICT080.png,0
.\corn_edit\PICT028.png,1
.\back_ground_square\PICT001.png,0
.\corn_edit\PICT011.png,1
.\corn_edit\PICT020.png,1
.\corn_edit\PICT059.png,1
.\back_ground_square\PICT026.png,0
.\back_ground_square\PICT068.png,0
.\corn_edit\PICT033.png,1
.\back_ground_square\PICT102.png,0
.\corn_edit\PICT100.png,1
.\corn_edit\PICT009.png,1
.\back_ground_square\PICT044.png,0
.\corn_edit\PICT025.png,1
.\back_ground_square\PICT066.png,0
.\corn_edit\PICT067.png,1
.\back_ground_square\PICT037.png,0
.\back_ground_square\PICT082.png,0
.\back_ground_square\PICT054.png,0
.\corn_edit\PICT035.png,1
.\corn_edit\PICT115.png,1
.\corn_edit\PICT072.png,1
.\corn_edit\PICT073.png,1
.\back_ground_square\PICT018.png,0
