x:image,y:label
.\corn_square\PICT054.png,1
.\back_ground_square\PICT049.png,0
.\back_ground_square\PICT000.png,0
.\corn_square\PICT000(2).png,1
.\corn_square\PICT050 -(3).png,1
.\corn_square\PICT006 -2).png,1
.\back_ground_square\PICT038.png,0
.\corn_square\PICT020 -(3).png,1
.\corn_square\PICT026.png,1
.\corn_square\PICT056 -(3).png,1
.\corn_square\PICT055 -.png,1
.\back_ground_square\PICT009.png,0
.\corn_square\PICT016.png,1
.\corn_square\PICT015 -(3).png,1
.\corn_square\PICT032 -(2).png,1
.\corn_square\PICT008 -(2).png,1
.\corn_square\PICT062 -(2).png,1
.\corn_square\PICT038.png,1
.\corn_square\PICT058.png,1
.\back_ground_square\PICT008.png,0
.\corn_square\PICT011 -(3).png,1
.\corn_square\PICT018 -(2).png,1
.\corn_square\PICT019 -.png,1
.\corn_square\PICT047 (3).png,1
.\back_ground_square\PICT052.png,0
.\corn_square\PICT031 -.png,1
.\corn_square\PICT024 -.png,1
.\corn_square\PICT055 -(2).png,1
.\corn_square\PICT067 -.png,1
.\corn_square\PICT010.png,1
.\corn_square\PICT070.png,1
.\back_ground_square\PICT022.png,0
.\corn_square\PICT006 -(3).png,1
.\corn_square\PICT047 -.png,1
.\back_ground_square\PICT023.png,0
.\back_ground_square\PICT025.png,0
.\corn_square\PICT000(3).png,1
.\corn_square\PICT052.png,1
.\corn_square\PICT056.png,1
.\back_ground_square\PICT006.png,0
.\corn_square\PICT040 -.png,1
.\corn_square\PICT008.png,1
.\corn_square\PICT026 -.png,1
.\corn_square\PICT036 -(3).png,1
.\back_ground_square\PICT032.png,0
.\corn_square\PICT013 -(2).png,1
.\corn_square\PICT031 -(2).png,1
.\corn_square\PICT023 -.png,1
.\corn_square\PICT040 -(3).png,1
.\corn_square\PICT051 .png,1
.\corn_square\PICT037 -.png,1
.\corn_square\PICT065 -(3).png,1
.\back_ground_square\PICT050.png,0
.\corn_square\PICT003 -.png,1
.\corn_square\PICT023.png,1
.\corn_square\PICT064.png,1
.\corn_square\PICT035 -(3).png,1
.\corn_square\PICT045 -(3).png,1
.\corn_square\PICT063 -.png,1
.\corn_square\PICT057 -.png,1
.\corn_square\PICT021 -.png,1
.\corn_square\PICT035.png,1
.\corn_square\PICT068.png,1
.\corn_square\PICT007.png,1
.\corn_square\PICT014 -.png,1
.\corn_square\PICT035 -(2).png,1
.\corn_square\PICT029 -(2).png,1
.\corn_square\PICT038 - (2).png,1
.\corn_square\PICT048 -(3).png,1
.\back_ground_square\PICT037.png,0
.\corn_square\PICT020 -(2).png,1
.\corn_square\PICT065 -(2).png,1
.\corn_square\PICT070 -(3).png,1
.\back_ground_square\PICT012.png,0
.\corn_square\PICT067 -(3).png,1
.\corn_square\PICT028 -(3).png,1
.\corn_square\PICT058 -(2).png,1
.\corn_square\PICT027 -.png,1
.\corn_square\PICT003 -(2).png,1
.\corn_square\PICT061 -(3).png,1
.\corn_square\PICT045 - .png,1
.\corn_square\PICT032 -(3).png,1
.\corn_square\PICT005 -.png,1
.\back_ground_square\PICT044.png,0
.\corn_square\PICT003.png,1
.\back_ground_square\PICT053.png,0
.\corn_square\PICT009 -(3).png,1
.\corn_square\PICT039 -(2).png,1
.\corn_square\PICT030 -.png,1
.\corn_square\PICT024 -(2).png,1
.\corn_square\PICT012.png,1
.\corn_square\PICT048.png,1
.\corn_square\PICT010 -(2).png,1
.\corn_square\PICT055.png,1
.\corn_square\PICT002 -(2).png,1
.\corn_square\PICT028 -(2).png,1
.\corn_square\PICT043.png,1
.\corn_square\PICT053.png,1
.\corn_square\PICT014 -(2).png,1
.\corn_square\PICT021 -(2).png,1
.\corn_square\PICT036 -.png,1
.\corn_square\PICT043 -(3).png,1
.\corn_square\PICT016 -(2).png,1
.\corn_square\PICT034 -.png,1
.\corn_square\PICT029 -.png,1
.\back_ground_square\PICT028.png,0
.\corn_square\PICT048 .png,1
.\back_ground_square\PICT024.png,0
.\back_ground_square\PICT005.png,0
.\back_ground_square\PICT021.png,0
.\corn_square\PICT002 -.png,1
.\corn_square\PICT033.png,1
.\corn_square\PICT015 -(2).png,1
.\back_ground_square\PICT039.png,0
.\corn_square\PICT044.png,1
.\corn_square\PICT069 (2).png,1
.\corn_square\PICT017.png,1
.\corn_square\PICT032 -.png,1
.\corn_square\PICT004 -.png,1
.\back_ground_square\PICT057.png,0
.\back_ground_square\PICT004.png,0
.\corn_square\PICT061.png,1
.\back_ground_square\PICT069.png,0
.\corn_square\PICT050 -(2).png,1
.\corn_square\PICT005 - (2).png,1
.\corn_square\PICT013.png,1
.\back_ground_square\PICT065.png,0
.\corn_square\PICT051.png,1
.\back_ground_square\PICT068.png,0
.\corn_square\PICT049.png,1
.\back_ground_square\PICT007.png,0
.\corn_square\PICT044 -(2).png,1
.\corn_square\PICT013 -.png,1
.\corn_square\PICT044 -(3).png,1
.\corn_square\PICT006 -.png,1
.\back_ground_square\PICT011.png,0
.\corn_square\PICT000 .png,1
.\corn_square\PICT058 -(3).png,1
.\corn_square\PICT065.png,1
.\corn_square\PICT019.png,1
.\corn_square\PICT002.png,1
.\corn_square\PICT013 -(3).png,1
.\corn_square\PICT019 -(2).png,1
.\corn_square\PICT000.png,1
.\corn_square\PICT028.png,1
.\corn_square\PICT064 -.png,1
.\corn_square\PICT007 -(3).png,1
.\corn_square\PICT052 -(2).png,1
.\corn_square\PICT037 -(3).png,1
.\corn_square\PICT005.png,1
.\corn_square\PICT021 -(3).png,1
.\corn_square\PICT046 (2).png,1
